,uniqueID,duration,date,drugName,review,rating,upvotes,drug,page
377,Robbo,Taken for less than 1 month,"May 4, 2023",Ozempic (semaglutide),"Reduced cravings. No side affects, easy use. General feeling of well being, have a lot more energy to exercise that I was unable to prior to taking Ozempic.",7.0,1,semaglutide,16
378,Becky,Taken for 6 months to 1 year,"December 31, 2021",Wegovy (semaglutide),"I have lost 32 lbs over a period of time and I have 18 to go. The problem is, wegovy is backorder for weeks so I am very upset.",7.0,6,semaglutide,16
379,Anonymous,Taken for 1 to 6 months,"March 19, 2022",Wegovy (semaglutide),"Started 5 weeks ago, down 13 pounds. I have had little side effects with the exception of being tired more often. Just started 0.5 today",9.0,5,semaglutide,16
380,Loss...,Taken for less than 1 month,"April 16, 2023",Wegovy (semaglutide),Has anyone experienced sleep loss? I took my first injection on 4-13-23 and every night I cannot go to sleep. Help!,7.0,1,semaglutide,16
381,Sympt...,Taken for less than 1 month,"April 12, 2023",Wegovy (semaglutide),I took my first dose and that night and the next day I experience unusual tiredness and weakness. It felt also like I had fever and/or onset of the flu.,,1,semaglutide,16
382,Mikk,Taken for 1 to 6 months,"February 22, 2022",Wegovy (semaglutide),"6 weeks have loss nothing. No side effects, no nothing.",1.0,4,semaglutide,16
383,Vee,Taken for 1 to 6 months,"March 25, 2023",,Totally took away my appetite. I no longer eat breakfast or crave certain foods/snacks. Gave some foods a,3.0,1,semaglutide,16
384,CSB,Taken for 1 to 6 months,"April 1, 2022",Wegovy (semaglutide),I am on my ninth dose and I’m down thirty pounds. It curbs your appetite but also makes you nauseous. I’ve had constipation too. Stool softeners help. It works well and helps you lose weight.,10.0,3,semaglutide,16
385,Cooper,Taken for 1 to 6 months,"February 7, 2023",,I am on my 9th week and just today started my 2.0 dose. So far down 13 pounds with absolutely zero side effects. I could easily over eat every day.,5.0,1,semaglutide,16
386,Anonymous,Taken for 1 to 6 months,"June 2, 2022",,I lost 23lbs in 8 weeks !!!! I went from 190lb to 167lb,10.0,2,semaglutide,16
387,Michele,,"March 6, 2022",Wegovy (semaglutide),I started my first does 1 day ago. I have been vomiting every sense. I can’t keep anything down. This is HORRIBLE…,,2,semaglutide,16
388,Shark,Taken for 1 to 6 months,"April 26, 2022",,"Took this for 4 weeks, all I got was a migraine I couldn’t get rid of and nausea. No weight loss complete wast of money.",1.0,1,semaglutide,16
389,susie,Taken for 1 to 6 months,"May 17, 2023",,"I have been using this for 6 weeks now and have gained weight! It is very expensive and doesn't work, I'm not happy.",1.0,0,semaglutide,16
390,Dees...,Taken for 1 to 2 years,"May 17, 2023",,"Yes, I experienced great weight loss over 9 months. Lowered cravings. Shut off the growl in my stomach.",10.0,0,semaglutide,16
391,CFT,Taken for less than 1 month,"April 22, 2023",Wegovy (semaglutide),In the fourth week on Wegovy I lost 4.5 pounds. I have had constipation but no nausea. It is helpful to drink a liter of water a day.,10.0,0,semaglutide,16
392,Jake,,"April 22, 2023",Wegovy (semaglutide),"Has anyone experienced a sore throat using this? After the 2nd dose, my throat is very sore and swollen.",5.0,0,semaglutide,16
393,Anonymous,Taken for 1 to 6 months,"May 18, 2023",Wegovy (semaglutide),I have nausea and vomitting however my HBa1c has gone down significantly and at this point the side effects are worth my DM numbers being normal!,10.0,0,semaglutide,16
394,fam,Taken for less than 1 month,"March 31, 2023",Wegovy (semaglutide),3 weeks in and it has caused lots of nausea and heartburn.,8.0,0,semaglutide,16
395,Patsy...,Taken for 1 to 6 months,"May 22, 2023",,"No weight loss, the pen leaks most of the medication out so I don't get the full effect of the med. This is the third injection and all three have leaked out.",3.0,0,semaglutide,16
396,Mike,Taken for 1 to 6 months,"May 16, 2023",,Fatigue is the worst side effect that I’m experiencing after 8 weeks. The gastrointestinal issues aren’t bad at all.,10.0,0,semaglutide,16
397,MLeeC,Taken for 1 to 6 months,"June 5, 2023",Wegovy (semaglutide),I am taking this now and so far having success. My problem now is that I am unable to get the necessary dose and it is going on week 2.,10.0,0,semaglutide,16
398,lbdd,,"June 3, 2021",Saxenda (liraglutide),"I am currently in week 3. I have lost 14 pounds. The side effects have been minimal, and are a little stronger on a day that I increase dosage. The notable side effects are a light nausea when it is time to eat, or after a meal in which I have eaten more than I should. I am incredibly pleased with the results of this medication. I feel good, and my stamina for exercise has increased. My blood pressure has dropped significantly, so my doctor and I reduced my blood pressure medication by half. My cravings for sugar are non-existent. I carefully consider what I am eating. I try to get in fruits and vegetables, but if there is pizza at my house, I just eat a few bites. I encourage anyone who needs this medicine to try it!! Giving yourself an injection is actually easy. The needle is so small, you barely feel it. I don't write reviews normally, but I feel very strongly about this option for weight loss.",10.0,1228,liraglutide,1
399,Bassg...,Taken for 6 months to 1 year,"January 22, 2021",Saxenda (liraglutide),"I started taking Saxenda April 2019. I was 273 lbs, lost over 90 lbs and am still keeping it off. It is a whole different life for me. I used to avoid going down the stairs to do laundry, but now don't even think about it. We got a 66 lb dog and I walk him twice a day and get in 6000 to 10000 steps a day. I am very thankful to my P.A. for telling me about it. I really lost 1/3 of my weight. I have been off Saxenda for about a year now.",10.0,1023,liraglutide,1
400,Ttteee,,"February 26, 2021",Saxenda (liraglutide),"I've been on saxenda for seven days. My starting weight was 186.4, and today I'm 181, that's >5lbs in one week! I have had very, very mild nausea for a few minutes after the first dose, unusual taste in my mouth, I'm incredibly thirsty and have a dry mouth. I have lost my appetite and only feel the need to eat around dinner time. At this point, I have a nutritious soup and a slice of brown sourdough. If I still feel hungry, I will eat some plain chicken breast pieces. This is very strange for me as I am usually constantly hungry or obsessing over the next meal. I was very much a binge eater in the evenings, but I have lost all cravings. An unexpected bonus, I've not felt the need to drink alcohol or coffee. I used wine as emotional support, sometimes drinking a bottle a night, but I've not felt any urge to drink at all. I had a glass the other day out of habit, and it lasted me all evening; I'm pleased to say that I didn't enjoy it very much!!! Best of luck, everyone.",9.0,805,liraglutide,1
401,Sweet...,,"March 7, 2021",Saxenda (liraglutide),"Started October19/2020. First three months side effects were nausea and acid reflux. At about 2 months in constipation was bad. Started eating all bran every morning and taking 1flora lax daily and the constipation went away in two weeks. Almost 4 months in all side effects are gone, so my body got used to the drug. Started at 201lb, BMI 34. Now 165lb, BMI 29. I am 62 years old and thought I could not lose weight any more because of severe food addiction . I think this drug has helped with readjusting my metabolism. Words can never explain the pure joy I feel inside. I should have went to see my DR. A long time ago to talk about weight loss. I used to eat ALL of the time, even get up at night to eat. Not any more!",10.0,697,liraglutide,1
402,Erica,Taken for 1 to 6 months,"April 5, 2021",Saxenda (liraglutide),"I’ve been on Saxenda since 1/5/21 and I have lost 40 pounds in two months! This is a miracle drug! I’ve been trying to lose weight for years now because I gained SO much weight in college. You can say I definitely gained the “freshman 50”. Once I graduated college in 2013 I tried every kind of diet from WW to Jenny Craig to diet shakes and that never worked. My mom told me about this injection and it’s honestly changed my life! I definitely recommend this injection if you have a really hard time loosing weight. I will say you definitely need to exercise for 30 minutes at least twice a week but you don’t have to do more than that. I am so happy and feel so great! I wish you all the best of luck, you won’t regret it!!!!",10.0,532,liraglutide,1
403,BigSm...,Taken for 1 to 6 months,"June 11, 2021",Saxenda (liraglutide),"I started using Saxenda on June 2. I am 43 years old and my starting was 87.8kg. My height is 172 cm and I’m very athletic. For the past to years my weight started to slowly escalate from 73 kg to 87.8 kg . I’m not sure if that is due to hypothyroidism or age but in either case I wasn’t very happy because no matter how much I was working out or dieting, my would would increase . My doctor recommended Saxenda and honestly it’s been the best thing that ever happened to me. I just started my 1.2 dose and to date I have lost 4 kg (9 days) My appetite decreased dramatically, I basically drink lots of fluids ( juice and water) and bread is strictly out of the menu… I don’t crave it at all! I hope to get back to my ideal weight (70kg). I can’t wait to get my old body back ❤️. I will post another update soon",10.0,427,liraglutide,1
404,Happy,,"January 2, 2021",Saxenda (liraglutide),"I started Saxenda on Oct. 15, 2020 and have easily lost 20 pounds. I have remained on the initial dose of 0.6 because any higher dosage and I was horribly nauseous and vomiting. Most notable for anyone who enjoys cocktails and wine (not to excess) is that I have almost an aversion to this. Smaller meals, no need to snack, increased walking and I feel great. 10 more pounds to go and not in any hurry. The fact that I can achieve these results at the lowest dosage also makes me happy!",10.0,475,liraglutide,1
405,Anonymous,Taken for less than 1 month,"August 20, 2020",Saxenda (liraglutide),"Just finished my 3rd week on Saxenda, about to start the 2.4 dose tomorrow. Result - nothing. No side effects eg. nausea, diarrhoea, stomach pains, dizziness. Just nothing. No weight loss except one pound. Still have the same desire to eat and however much I eat, I don’t feel sick at all, like some people. £320 for what? I still weigh 13 stone. Someone tell me where I am going wrong. Thought I wasn’t injecting properly, but consulted my GP nurse and she says it’s fine. Somebody please help me.",1.0,495,liraglutide,1
406,DrD,Taken for 1 to 6 months,"February 21, 2020",Saxenda (liraglutide),"Started Saxenda January 1, 2020 at 300.4 lbs. To date February 21, I am down 44 lbs. 1000 to 1200 calories per day and 10k to 12k average # of steps per day. Cravings are gone low appetite and nausea if I try to eat too much. Few side effects now but same as everyone else at beginning. By the end of my 2nd script I may be down 60 lbs and would like to stop shots for a while but concerned on gaining back. Anybody have experience with stopping? Can I stop for a month and start again if not happy with weight gain?",9.0,478,liraglutide,1
407,Aano,Taken for 1 to 2 years,"June 9, 2020",Saxenda (liraglutide),I absolutely love this Saxenda. I have been struggling with weight all my life. A lot of yo-yo dieting. After Saxenda I dropped 75 lbs in less than a year without consciously changing my diet. I eat when I am hungry and stop when I am not. Up until this I had never felt full in my life. Now I can’t eat 1/4 of the food I used too. I have severe IBS but had no issue with nausea.,10.0,441,liraglutide,1
408,PhatJ...,Taken for 1 to 6 months,"May 24, 2020",Saxenda (liraglutide),"I have been taking Saxenda since December 2019. I have lost 16kgs (35 pounds). I have had some of the worst side effects. Nausea, acid reflux, vomiting and constipation - but I am afraid to stop taking it as I don’t want to gain the weight back. Can anyone offer any advice?",8.0,411,liraglutide,1
409,Tired...,Taken for less than 1 month,"February 13, 2021",Saxenda (liraglutide),"I started Saxenda 1/17/21. I am up to the 2.4 dose and have lost 18lbs. The side effects have been rough. Nausea and vomiting occur weekly and get worse after I increase the dose. I am hopeful that my body will get accustomed to the Med and the side effects will lessen. I find that I don’t eat a lot because I feel sick most of the time. I was thin half my life and obese the other half, and have gotten to the point I don’t want to go out because of my weight. If the weight loss continues, it will be worth the constant sickness. I just take 1 day at a time and set my mind to my goal- to feel better about myself.",9.0,335,liraglutide,1
410,Anonymous,Taken for 1 to 6 months,"June 4, 2020",Saxenda (liraglutide),"I have been using Saxenda since March 6, 2020. I am on 3.0 dosage I just recently noticed some side effects that are really bothering me mentally. Diarrhea worse ever, like running water, belching, and constant bloating. Please give me some good advice what can I do.?",8.0,386,liraglutide,1
411,Povi,Taken for less than 1 month,"April 18, 2021",Saxenda (liraglutide),"I'm on my 19th day. I have been on 1.2 now for 3 days I stayed on 0.6 while the nausea settled a bit. I am having some nausea still but have only recently increased the drug dose. The 2nd night I woke up at 2am and threw up, that was the only time though. The ongoing nausea comes and goes but mainly when I think about food, which isn't often these days. I'm not craving anything at all and meat is a little off putting and anything like bread or chips (carb stuff like that) is totally off the menu and I'm enjoying fruit. Having some constipation but I need to drink much more water that will fix that little issue. I am active but not overly .. maybe walking 3-4 times a week for 20 minutes ... and doing stuff around the house daily. I'm 62 and in 19 days I have lost 7kgs (15 pounds).",10.0,271,liraglutide,1
412,Laura,,"January 15, 2021",Saxenda (liraglutide),"I started Saxenda 2 months ago, I can’t get over the head aches and nauseousness I get when I take it! I lost 38 pound but feel awful. I wonder if all this misery is worth it :( I will post again when I increase my dose .",1.0,274,liraglutide,1
413,Daisy...,Taken for 1 to 6 months,"December 27, 2020",Saxenda (liraglutide),"I'm about 3.5 months in. No side effects after I hit the 3.0 dose. I take at night before bed. Biggest problem is dry mouth. With mask wearing I'm not sure if it's from the meds or not- but water solves it. Usually I'm under hydrated anyways so more water is needed. Appetite has shrunk. I don't clear my plate. Cravings are gone- it's so weird how it's a habit to go to the kitchen all the time. I was worried about the holidays, but breezed threw them without feeling I lost out. I believe this medicine is helping my eat less. The habit of smaller meals is one I plan on keeping. I do a protein shake for breakfast. Usually a fruit cup or yogurt for lunch. A regular dinner. I try to get 75+ protein in me a day. I also aim for tons of water. At 3 months this in this meal plan is easy and I never feel I'm starving. I started at 370. Lost 15 alone and started saxendra at 355. I'm down to 322 at the months in. 10ish pounds a month is a good steady pace for me.",10.0,276,liraglutide,1
414,India...,Taken for 1 to 6 months,"December 20, 2020",Saxenda (liraglutide),I had lifetime weight issues endless docs and specialists and eventually put on Saxenda. Lost 6.4% of total starting weight in 7 weeks. Now ten weeks in and haven't been reweighed yet but lost 2 sizes in all clothing so far. Have had no side effects at all other than 10 days or so after starting developed a bit of reflux which I've never had before but cold drink and occaisional mylanta tablet removes the issue. My life has improved beyond belief thanks to this medication and what may in my case be a genetic condition. Yes some people may have issues nothing in this world is perfect and undoubtedly some people will be unfortunate enough to suffer an unwanted side effect as noted in some reviews but on the whole I wouldn't hesitate to recommend this to anyone that has serious weight issues as most people like me thankfully don't have side effects.,10.0,269,liraglutide,1
415,Fatto...,,"December 18, 2020",Saxenda (liraglutide),"Saxenda works so far.... I’ve lost 8lbs in 6 days on the starting dose. I also eat clean, count my calories and exercise for 2 hours a day. After reading all of these reviews I’ve noticed that in the USA Saxenda costs cash pay patients $1500 but in Australia and the UK it costs under $400. Why do American drug companies charge Americans 3-5times more than they charge everyone else? This goes for every prescription, not just Saxenda.",7.0,260,liraglutide,1
416,loopy...,Taken for 1 to 6 months,"January 4, 2021",Saxenda (liraglutide),Saxenda worked for appetite suppressant for first 6 weeks or so then stopped working once on highest dose. However main side effect was pancreatitis caused by gallstones which I have never had before until I took this medication. Ended up hospitalised 3 times and now waiting gallbladder removal. Wish I never tried this medication as the pain it has caused I wouldn't wish on my worst enemy. Never been sick a day in my life and now spent weeks on and off in hospital. This is a known side effect. You have been warned!,1.0,254,liraglutide,1
417,Missi,Taken for 1 to 6 months,"June 12, 2019",Victoza (liraglutide),"I'm not usually one to review, but I have to share my experience of Victoza. My Dr first prescribed this to me in January (2019) starting with a 0.6mg dose. After the first month I increased to 1.2mg dose. 5 months later I am still taking 1.2mg and have not increased yet to 1.8mg. To date I have not suffered with any side effects. I can confirm that it has completely banished my sweet cravings and reduced my appetite by at least 70%. As a result, since 5 January 2019 (today is the 12 June 2019) I have lost 90.5lbs. This has been alongside a diet of 1200 calories a day, but I should add NO exercise. Also, once a week, usually Saturday evening, I allow myself some",10.0,333,liraglutide,1
418,Shasta,,"April 30, 2020",Saxenda (liraglutide),"After gastric bypass surgery 14 years ago losing 110 lbs and gaining 13 back over the years, I still have 60 lbs that I have just been unable to lose. With the help of Saxenda I lost 50 pounds my first year. I started at 180 lbs and ended at 130 lbs. 10 more to go. This drug is only a tool. It isn't a miracle drug. If you continue to eat junk food and carbs, you will never lose weight. It is important to maintain a healthy meal plan and Saxenda will help with the cravings and assist in not overeating. It is also important to exercise as well. I found constipation to be an issue, but using Metamucil or a stool softener (not a laxative - as your body can become dependent upon laxatives), probiotic, and insoluable fibrous vegetables such as spinach, broccoli, carrots, tomatoes and celery can help with this. I also experienced some nausea at first, but this too will pass as your body becomes accustomed to the medication. Saxenda has been a wonderful life changing tool for me.",9.0,269,liraglutide,1
419,Jenwen,Taken for 1 to 6 months,"October 18, 2020",Saxenda (liraglutide),I started Saxenda 5 weeks ago starting weight 84.7 kg now weighing 79.5 kg I have had no side affects. I feel that I crave less and my appetite is reduced my portion control is much easier. Best thing I have done.,9.0,231,liraglutide,1
420,Pam,Taken for less than 1 month,"May 22, 2020",Saxenda (liraglutide),"Well, I started Saxenda May 15, 2020. Starting weight was 235lb and after a week, I'm now 229lb. I haven't experienced any nausea, vomiting, bloating or changes in bowels patterns. I've been diligently working on my nutrition for a long while so a low cal diet has not been my issue; weight plateau and emotional eating has been my problem. My doctor gave me a thorough description of how the med works so I had a good understanding going in, plus my sister had gastric sleeve surgery and this drug seems like it works like a sleeve or band surgery, without the surgery. If you over eat, you will get sick. And as far as the injection....it's a piece of cake! I look forward to seeing my progress in a few months.",9.0,246,liraglutide,1
421,Nina,Taken for less than 1 month,"August 22, 2020",Saxenda (liraglutide),"On Saxenda for 5 days, still on 0.6mg dose. First day was horrible with side effect symptoms of nausea and stomach pain, but other than first day and occasional headaches and low energy, I am fine. I am 5' 7",10.0,216,liraglutide,1
422,TataHi,Taken for 1 to 6 months,"July 4, 2021",Victoza (liraglutide),"I started this med for weight loss approx 6 weeks ago and I have lost 23 lbs. I am 6.1' (43 year old female). SW - 235, CW - 207, GW - 175-185. For the first two weeks I felt nauseous. I went from .6 to 1.2 and maybe could have tried to go slower? I am so thankful I stuck with it. I have real hope for the first time in years. I only wish I had known about this med sooner. It costs me $50 a month and I more then save that in food. I am indifferent to food like I never thought possible. It is amazing to go from compulsive eating to having to having to force myself to eat but that is what this med has done for me. I plan on going back down to .6 when I get closer to my goal weight. Do not pass go, do not collect $200.... go straight to your Dr and get this med.",10.0,157,liraglutide,1
423,MMano,Taken for less than 1 month,"June 1, 2020",Saxenda (liraglutide),"It's been 11 days and I've lost 14 lbs! I've been eating a 1200 cal/day diet without any trouble- no hunger, no cravings. I'm currently at the 1.8mg dose. I won't lie though. I am having nausea, stomach cramps and constipation intermittent with diarrhea. I experienced the side effects when I started the drug and when I have upped the dose- then they go away after 3 days. I just increased to 1.8mg so I've felt kind of sick all day. Worth it though to lose 1-2 lbs daily as I have been!!",10.0,203,liraglutide,2
424,Jules,Taken for less than 1 month,"September 28, 2020",Saxenda (liraglutide),I started Saxenda on September 22nd and I weighed myself today (September 28th) and have lost 14 pounds so far! I haven't felt any side effects so far. Tomorrow I up my dose. I think it's really helping me control my hunger and desire to eat so much.,10.0,167,liraglutide,2
425,Sinsi...,Taken for 1 to 6 months,"June 22, 2019",Victoza (liraglutide),I’ve been on Victoza since May 2019 and to date I have lost 34 lbs! Yea it does take a bit to get used to and you will lose your appetite but stick with it. I find that I do get constipated and I’m not sure what to do about it right now since I’ve always had issues with bowel movements. One other thing that drives me crazy is that I will be starving and then when I finally eat I take 3 bites and then...full! My husband teases me about it because I will be ready to hurt someone then get full almost from just looking at food. I’ve not exercised at all with this medication but definitely feel well enough to do so. 6 more lbs til I’m out of my 200’s.... so onward!,9.0,221,liraglutide,2
426,Bee,Taken for 1 to 6 months,"January 29, 2021",Saxenda (liraglutide),"I have been taking Saxenda since end of Sept 2020 - I also make sure I do 10,000 steps everyday. My appetite has decreased significantly, on 1.8mg and lost 21kgs( 46.3 pounds) haven't had any major side effects - occasionally bowel issues so surprised with all the people that have experiences. I also spoke with a Dietician in conjunction as recommended by my GP with some extra tips but quite happy with it",9.0,146,liraglutide,2
427,Rae,Taken for less than 1 month,"August 22, 2020",Saxenda (liraglutide),I’m in my mid 40’s and these last couple of years I’ve found it impossible to drop the weight. Started just over a week ago. Injecting in the evening just before bed. Stopped my cravings for carbs and sugar. Not really Very hungry and very small portions fill me up. I’ve lost around 7lbs to date. It’s not magic You still need willpower and need to think about what food you are putting in your mouth and drink plenty of water. I would definitely recommend.,9.0,160,liraglutide,2
428,jazzy...,Taken for 1 to 6 months,"June 3, 2020",Saxenda (liraglutide),"I started Saxenda in Dec of 2018 at 230lbs. By April of 2019 I made it down to 195. I had struggled with weight ever since I was a child. It was the first time I remember seeing my weight in the 100’s!! It’s 2020 now, I can’t afford Saxenda and haven’t been on it since May of 2019. I haven’t gained weight though! I’ve been between 195 and 190. Unfortunately I struggle with weight loss so it’s been a pain, hoping to find Sax at an affordable price to go back on it. I had side affects such as, fatigue and being a little grumpier but that’s about it. Sometimes I’d get nauseous but that wasn’t too bad. It does work! But, it also takes work. I also ate healthier while on it and did low impact workouts, for 15 to 30 mins every few days. I just wish it were cheaper to get. :(",9.0,169,liraglutide,2
429,John...,Taken for 6 months to 1 year,"September 14, 2019",Saxenda (liraglutide),"Worked wonders for me. I could barely make it through the first six weeks. The sickness and nausea along with other painful side effects.... but into my seventh week which put me into my second week at a 3.0 dose I started to feel normal again. I am into my eighth month and I have lost 65 pounds along with saxenda, eating right and taking the stairs.... if you having a rough go of this please stick it out. I am living proof this works!!!",10.0,188,liraglutide,2
430,astrict,Taken for less than 1 month,"May 11, 2021",Saxenda (liraglutide),"I started using Saxenda 3 weeks ago. I’ve lost 13 pounds in that time. I noticed a significant decrease in my appetite in the first few days. I haven’t increased the dosage since the lowest dose seems to still be effective for me. And I haven’t noticed any side effects. As a side note, I also monitor my daily intake of calories as I have for quite some time now. But no restrictive special diet ( I eat what I like, but within a calorie budget). I only drink water and black coffee. And I exercise moderately at least every other day.",10.0,121,liraglutide,2
431,JSam,Taken for less than 1 month,"August 26, 2020",Saxenda (liraglutide),Two weeks on Saxenda. I just weighed for the 1st time. I’ve lost 11 pounds so far and 2 inches off waist. I’ve had some indigestion with lots of burping and just in the last couple days am a little constipated. Those are my only side effects so far. I have virtually no appetite so it is doing what it’s supposed to do.,9.0,149,liraglutide,2
432,Kim...,Taken for 1 to 6 months,"April 19, 2023",Saxenda (liraglutide),"Started 12 weeks ago and have lost 13.2kgs (29lbs). During the increased dosage phase I had mild nausea for the first day or so, then very little side effects. I struggle to consume more than 1000 calories/day while on Saxenda. As time has passed side effects are coming to light: low Vitamin B12/low energy, general fatigue, light headedness and irritation at the injection site (although that comes and goes). However I believe these are from a significant decrease in caloric intake, not the medication itself. I have started taking a high quality multivitamin so hopefully that will remedy some of these issues. My weight loss each week is directly linked with how much water I take in. Low water weeks = low weight loss weeks. 3+ litres each day and I lose at least 1kg a week. Increasing my water intake has also helped to alleviate mild constipation and general bloat.",10.0,18,liraglutide,2
433,sammy,Taken for less than 1 month,"August 16, 2020",Saxenda (liraglutide),"Today is my fifth day on Saxenda injection .6. I’ve had very little side effects. I’ve had one morning of very very slight nausea but nothing to speak of really. And I’ve noticed some excess burping but that could be due to all of the watermelon I I am eating LOL. Saxenda has made it very easy to eat healthy because you really don’t feel hungry so you want what you eat to count. I also seem to have a little more energy, nothing crazy but I just feel really good probably because I am eating better. I started at 202 pounds. I will not weigh myself until I’ve been on the medication for two weeks. So I will update at that time.",10.0,134,liraglutide,2
434,Jas,Taken for less than 1 month,"January 16, 2021",Saxenda (liraglutide),"Started 4 days ago and lost 10kg!! Suppressed appetite and been drinking water. I did eat dominos (medium pizza) spread over two days. And I thought that would mess it up but it didn’t!! Can’t believe it I was 77.7kg the day ordered and around 77.6kg when I started, I’m now 67.2kg!",10.0,118,liraglutide,2
435,MarieQC,,"April 7, 2016",Victoza (liraglutide),"I was diagnosed with polycystic ovarian syndrome (PCOS) years ago. Last year, I was referred to a doctor that specializes in this disease; at the time I first met him, I weighed a whopping 387 pounds (I%u2019m 5%u201910%u2019%u2019). Of course, the first thing he told me was that my PCOS would get better if I lost weight. I was totally discouraged! I told him that I was very active and had been on EVERY diet%u2026 nothing seemed to work. I was so frustrated and asked if there was anything he could do to jump start my weight loss from a medical stand point. This is when he told me about Victoza and about the study that demonstrated that individuals suffering from PCOS, not from Type 2 diabetes, had lost weight on this medication... I now weigh 275 pounds :)",10.0,263,liraglutide,2
436,Melbu...,Taken for 1 to 6 months,"October 4, 2020",Saxenda (liraglutide),"I’ve been using this for 3 months now and I’ve lost 16kgs so far. Sometimes it fluctuates but generally I’ll lose weight quite rapidly. Every time I changed the dosage I’d have headaches all day. I do have some weeks of bad constipation, thus not losing any weight over that time, but I take medication for that. Overall I’m happy with the results. Change of diet is definitely key. As I’m in lockdown our gyms are closed so I haven’t been able to do much exercise at all.",10.0,126,liraglutide,2
437,Pamcar,Taken for less than 1 month,"March 26, 2021",Victoza (liraglutide),I would recommend this to anyone who has had a hard time with weight loss. My weight has been up and down my entire life but now that I am older losing had become harder. I've been using Victoza for only a week and I have lost pounds. With no serious side effects at all. It just gets rid of my appetite.,10.0,109,liraglutide,2
438,Marleen,Taken for 1 to 6 months,"January 11, 2021",Saxenda (liraglutide),"I started using Saxenda for a very different problem than obesity; I am slightly overweight and have bulimia which had been under control for years but when I started a new medication for my depression, I started to gain weight; no matter what I ate or didn’t eat, I did not lose a single pound and was always starving - and therefore the bulimia returned. My Dr prescribed me Saxenda to stop my hunger cravings in the evening. I’m now up to 1.8mg and inject every other day. And since then the cravings are gone. I don’t force myself to throw up anymore and am way happier. I also lost 14 pounds (I am still overweight but way more happy again), and I hope to stay on Saxenda for on a low dose for a while. I had the usual side effects at the beginning: dry mouth, constipation, heartburn and Sulfur burps. Most of it is gone now, the dry mouth remains, but the more water I drink, the better I can use the bathroom too to avoid constipation.",10.0,111,liraglutide,2
439,patbl...,Taken for 1 to 2 years,"January 15, 2020",Saxenda (liraglutide),"I have been taking Saxenda for 18 months now and l have lost 77lbs so far. I generally stick to 1000-1200 cals a day, eating lots of fruits, veg, fish, couscous, new potatoes, things like that. I still eat bread because l have always loved bread and always will. I usually inject four days a week, l find that works for, l don't have to inject every day. I do get side effects, like diarrhoea, or soft stools and the odd bout of nausea. I don't smoke or hardly drink alcohol, so l use this money to buy Saxenda, which we all know I'd quite expensive. I have to say though, my life has completely changed, since l have lost all that weight and for the better, that's for sure",9.0,140,liraglutide,2
440,Craving...,Taken for less than 1 month,"September 19, 2019",Saxenda (liraglutide),"I’ve been on this for two weeks and lost 2.6kg. Currently on 1.2ml. My advice: keep your fluids up. I got super dehydrated, headache etc. I’ve been drinking mineral water which has fixed it. Also, in relation to feeling tired and sluggish, I would recommend that you need to eat quality food/smoothies. Because all my cravings and appetite have disappeared, I can’t eat rubbish because I get full, and then don’t eat anything good. Then I feel sluggish. I hope this helps some of you. Good luck with your journeys and keep going! Remember, courage is not finding the strength to go on, it’s going on when you no longer have the strength.",8.0,148,liraglutide,2
441,Sabbydc,,"June 15, 2021",Saxenda (liraglutide),DON'T DO IT! It’s not worth your health . I started Saxenda on May 20th 2021 at 0.6 mg and increased every 7 days I was at 2.4 mg by June 11 th and on June 13th I was admitted to the hospital with severe pancreatitis. After two ultrasounds and an MRI all the doctor could find as the cause was saxenda ! All that for a 7 pound weight loss,1.0,92,liraglutide,2
442,Jappe,Taken for 1 to 6 months,"June 10, 2020",Saxenda (liraglutide),"This drug Saxendra may indeed help you to loose weight, I have lost 15 kg, which I am happy about. BUT, the moon has a backside also, the side effects are horrible, especially problems in relation to sleeping, going to the toilet and the nausea are really, really bad. This is NOT a drug to take if you need to loose 4-5 to fit your swim suit, no way. Please consider the price of taking this very carefully before starting. I will not recommend it.",5.0,123,liraglutide,2
443,Dee,Taken for 1 to 2 years,"July 12, 2018",Saxenda (liraglutide),"This is an update to a post from about 4 or 5 months back.... as I said my starting weight was 293lb or 294lb, my first review I was at 245lb.. Since then I've lose 15lbs (230lb) . Just remember guys it works SLOW give it a chance, stay off the scale! Take it at night to help with the fatigue, all the other symptoms will go away. Eat plenty of fruit and fiber to combat the constipation drink plenty or water that will help also. I promise you it will get better! Again STAY OFF THE SCALE. Give it time, when those pants start feeling lose then get on the scale! Lol.. it's been 14months for me now and I am going to continue to keep taking it. Oh and don't give yourself injections in the same spot. It will become itchy. Good luck everybody and STAY OFF THAT SCALE!! EAT FIBER, DRINK PLENTY OF WATER xoxo",10.0,176,liraglutide,2
444,Grandpa...,Taken for 1 to 6 months,"January 21, 2020",Saxenda (liraglutide),"I've used it for 2.5 months. My blood sugar went from 138 to 88. My lifelong asthma disappeared immediately and has not returned. I stopped taking drugs for reflux, which I had been taking for years. I usually eat one meal a day and one snack. I'm almost never really hungry, but it takes some effort to stop eating routines that are not hunger-based. My BMI went from 31 to 27. I have lost 13 kg, 14% of my body weight. I often feel mildly nauseous. I have chronic constipation. I have mild stomach pain at times.",10.0,131,liraglutide,2
